gripper_pos,direction_num,distance
-1.993423073,1,10.4152
-1.992479374,1,10.435399999999998
-1.991535675,1,10.461599999999999
-1.990599496,1,10.4804
-1.989655797,1,10.497399999999999
-1.988713977,1,10.518
-1.987772158,1,10.540799999999999
-1.986834099,1,10.5638
-1.985899799,1,10.572199999999999
-1.984954221,1,10.578999999999999
-1.984016161,1,10.6024
-1.983064943,1,10.6232
-1.982113724,1,10.644
-1.981170025,1,10.6654
-1.980230086,1,10.6844
-1.979292027,1,10.6994
-1.978353967,1,10.7214
-1.977425308,1,10.7434
-1.976487248,1,10.764999999999999
-1.975552949,1,10.779
-1.974613009,1,10.795800000000002
-1.97368247,1,10.8216
-1.97274629,1,10.850999999999999
-1.971808231,1,10.875200000000001
-1.970866412,1,10.886
-1.969928352,1,10.8918
-1.968986533,1,10.905600000000002
-1.968052234,1,10.9236
-1.967116054,1,10.9454
-1.966185515,1,10.9636
-1.965247455,1,10.9772
-1.964315035,1,10.9884
-1.963386376,1,11.0012
-1.962446436,1,11.0108
-1.961512137,1,11.029
-1.960574077,1,11.0472
-1.959636018,1,11.0634
-1.958694199,1,11.078800000000001
-1.95775238,1,11.096
-1.956814321,1,11.115
-1.955872502,1,11.131400000000001
-1.954936322,1,11.1494
-1.953996383,1,11.167
-1.953050804,1,11.1836
-1.952105225,1,11.2028
-1.951167166,1,11.2202
-1.950232866,1,11.238199999999999
-1.949292927,1,11.257
-1.948349228,1,11.2674
-1.947409289,1,11.2736
-1.94646747,1,11.301599999999999
-1.945523771,1,11.3272
-1.944572552,1,11.345400000000001
-1.943630733,1,11.3632
-1.942683275,1,11.3782
-1.941741455,1,11.395599999999998
-1.940795877,1,11.4142
-1.939854058,1,11.4328
-1.938906599,1,11.4486
-1.93796666,1,11.4696
-1.937024841,1,11.4866
-1.936075502,1,11.5078
-1.935126163,1,11.5234
-1.934182464,1,11.5256
-1.933240645,1,11.5362
-1.932291307,1,11.554
-1.931349488,1,11.576
-1.930405789,1,11.593
-1.929469609,1,11.6098
-1.92852591,1,11.6224
-1.927580331,1,11.645
-1.926644152,1,11.659799999999999
-1.925687294,1,11.6734
-1.924743595,1,11.6848
-1.923794256,1,11.692800000000002
-1.922844918,1,11.7108
-1.921893699,1,11.7294
-1.920936841,1,11.747800000000002
-1.919983743,1,11.769
-1.919030644,1,11.789
-1.918068147,1,11.8118
-1.917111288,1,11.830400000000001
-1.91616195,1,11.8494
-1.915210731,1,11.8664
-1.914259513,1,11.8796
-1.913300775,1,11.896999999999998
-1.912347677,1,11.9172
-1.911398338,1,11.939
-1.91044524,1,11.9616
-1.909490261,1,11.984200000000001
-1.908542803,1,12.007200000000001
-1.907593464,1,12.023
-1.906646005,1,12.038
-1.905700426,1,12.0608
